STAT,JJJJMMDD,QN,TG,TN,TM,TX,RFM,FM,FX,SO,NM,RR,PM
10361,20200820,1,13.8,17.1,23.6,30.7,63.4,2.0,8.5,7.4,6.8,0.0,1000.2
10361,20200819,1,11.5,13.5,20.6,27.3,66.8,1.0,5.2,12.4,2.1,0.0,1000.7
10361,20200818,1,13.3,15.2,20.3,25.7,80.4,1.0,9.7,5.3,7.1,1.4,1000.2
10361,20200817,1,13.2,15.7,21.9,29.1,67.6,2.0,11.3,6.8,4.6,0.5,999.7
10361,20200816,1,14.2,16.3,23.6,30.7,59.9,2.0,8.7,12.8,0.6,0.0,1003.2
10361,20200815,1,15.9,17.4,23.1,29.6,72.9,2.0,14.7,8.1,4.9,32.4,1004.3
10361,20200814,1,15.5,17.7,23.1,28.3,73.2,1.0,6.1,4.4,7.6,0.0,1002.8
10361,20200813,1,16.9,19.6,23.1,26.0,62.5,1.0,4.9,0.0,8.0,0.0,1004.4
10361,20200812,1,14.6,17.7,26.5,32.7,40.9,2.0,9.2,13.5,0.9,0.0,1007.7
10361,20200811,1,16.9,18.7,26.4,33.2,52.0,2.0,8.9,12.4,1.0,0.0,1008.6
10361,20200810,1,17.7,20.2,24.7,30.3,66.0,2.0,6.2,4.6,6.5,0.0,1007.5
10361,20200809,1,16.0,18.6,27.3,35.6,56.0,2.0,13.7,10.8,4.8,11.0,1007.4
10361,20200808,1,15.6,18.1,27.1,35.4,54.2,1.0,5.3,13.7,0.4,0.0,1009.4
10361,20200807,1,12.4,14.8,24.7,32.6,56.9,1.0,6.7,13.1,0.2,0.0,1011.3
10361,20200806,1,9.8,13.2,23.0,30.9,47.5,2.0,7.0,14.2,0.0,0.0,1010.9
10361,20200805,1,7.2,10.1,20.3,28.3,53.2,2.0,6.2,14.1,2.8,0.0,1008.0
10361,20200804,1,8.8,11.2,17.4,23.8,65.0,2.0,7.5,8.8,4.6,0.0,1005.0
10361,20200803,1,10.3,13.2,17.9,23.1,66.3,2.0,7.2,7.7,6.6,0.0,1002.6
10361,20200802,1,14.5,16.2,18.9,20.7,88.5,2.0,6.8,0.4,7.7,11.6,1003.0
10361,20200801,1,10.4,14.2,23.6,33.2,54.5,2.0,8.2,10.4,4.5,0.0,1004.9
10361,20200731,1,8.7,11.6,21.1,28.1,54.3,1.0,5.9,14.4,1.8,0.0,1008.9
10361,20200730,1,6.6,9.9,17.6,25.0,56.1,2.0,6.8,13.4,3.5,0.0,1010.7
10361,20200729,1,8.4,11.8,18.1,23.7,56.2,2.0,11.9,10.9,3.5,0.0,1008.0
10361,20200728,1,10.5,13.9,21.5,27.7,57.7,2.0,12.4,8.7,5.0,0.0,1000.1
10361,20200727,1,10.9,13.4,19.9,26.1,66.9,2.0,9.1,5.3,6.2,0.7,1005.1
10361,20200726,1,12.3,15.0,19.6,25.4,74.3,2.0,8.6,4.2,6.2,12.4,1001.1
10361,20200725,1,11.7,14.4,21.2,27.4,62.6,2.0,7.8,5.4,6.6,1.9,1002.0
10361,20200724,1,9.2,12.3,20.3,27.8,56.2,2.0,11.7,7.0,4.7,0.0,1000.8
10361,20200723,1,10.5,13.5,18.6,24.5,54.1,1.0,9.5,10.5,4.1,0.0,1006.9
10361,20200722,1,6.1,9.0,16.9,22.6,58.5,2.0,8.2,7.7,4.3,0.1,1011.8
10361,20200721,1,8.2,11.1,17.2,23.3,56.0,2.0,8.9,13.1,2.3,0.0,1011.9
10361,20200720,1,8.1,11.9,18.3,23.0,72.6,2.0,12.8,5.2,5.4,1.6,1007.0
10361,20200719,1,10.5,13.4,22.5,29.5,56.6,1.0,8.0,9.5,5.5,0.0,1005.7
10361,20200718,1,10.5,13.1,20.2,26.4,63.7,1.0,4.3,10.6,3.4,0.0,1009.4
10361,20200717,1,9.5,11.9,18.5,23.0,60.4,2.0,8.1,5.9,6.5,0.0,1009.4
10361,20200716,1,11.0,12.4,16.8,21.7,70.9,1.0,6.3,3.4,7.1,0.1,1006.0
10361,20200715,1,12.4,13.8,15.2,18.1,90.5,1.0,3.6,0.8,7.5,18.1,1003.2
10361,20200714,1,7.0,10.9,20.7,29.0,52.1,2.0,9.9,8.8,6.4,6.4,1004.1
10361,20200713,1,4.7,8.2,18.1,25.9,54.8,1.0,5.7,14.7,0.8,0.0,1012.8
10361,20200712,1,4.4,8.5,15.7,22.1,62.2,2.0,7.6,10.1,2.5,0.0,1016.8
10361,20200711,1,4.6,8.7,15.1,21.3,66.7,2.0,9.8,8.3,3.3,0.0,1012.6
10361,20200710,1,9.8,11.8,17.9,25.0,78.8,2.0,14.4,3.9,7.5,0.1,1001.0
10361,20200709,1,12.1,13.3,17.8,23.3,80.6,2.0,13.2,0.2,8.0,2.9,1003.0
10361,20200708,1,11.4,12.1,14.5,18.4,81.3,1.0,5.6,0.2,7.8,0.8,1005.9
10361,20200707,1,8.0,10.3,15.4,21.3,65.4,2.0,11.3,8.0,5.1,0.4,1008.3
10361,20200706,1,9.7,11.7,16.2,20.8,66.4,3.0,13.4,8.9,4.1,0.4,1002.6
10361,20200705,1,15.6,18.1,22.1,27.7,68.8,3.0,13.1,2.1,6.8,1.1,1000.0
10361,20200704,1,10.2,13.4,20.4,25.8,58.1,3.0,12.0,4.1,6.2,0.0,1004.6
10361,20200703,1,11.0,13.8,18.6,23.9,64.4,2.0,12.1,10.9,3.5,0.0,1005.6
10361,20200702,1,11.6,14.7,19.5,25.6,70.2,2.0,8.8,5.4,6.7,0.2,1000.2
10361,20200701,1,12.1,15.5,19.4,25.6,74.3,2.0,15.2,1.8,7.8,1.9,997.3
10361,20200630,1,8.0,12.2,18.6,23.8,51.1,3.0,11.8,7.7,6.0,0.0,998.9
10361,20200629,1,8.3,12.4,18.0,23.3,64.9,2.0,11.6,8.5,6.2,0.4,1001.5
10361,20200628,1,11.2,14.8,21.3,27.0,65.3,2.0,9.8,3.3,6.9,0.0,1002.5
10361,20200627,1,12.4,15.4,23.9,31.2,62.4,2.0,10.5,11.1,2.2,0.6,1000.0
10361,20200626,1,10.6,13.5,23.2,29.1,60.0,2.0,8.4,14.4,1.5,0.0,1004.8
10361,20200625,1,13.0,15.9,21.9,28.3,62.3,2.0,8.8,7.0,4.4,0.0,1010.7
10361,20200624,1,7.4,11.0,19.7,25.4,61.0,2.0,8.4,10.7,2.3,0.0,1014.6
10361,20200623,1,8.3,11.7,19.3,25.7,54.6,2.0,8.4,15.1,0.3,0.0,1015.1
10361,20200622,1,10.1,13.0,19.5,25.5,61.0,2.0,8.4,11.5,2.2,0.0,1012.1
10361,20200621,1,10.8,14.2,19.6,25.1,58.7,2.0,8.1,9.9,4.6,0.0,1009.4
10361,20200620,1,14.3,15.4,19.5,23.8,62.8,2.0,10.9,5.7,7.6,0.0,1008.0
10361,20200619,1,14.9,15.7,18.7,23.4,78.0,2.0,9.2,3.2,8.0,0.1,1003.6
10361,20200618,1,14.4,15.7,19.4,22.2,75.6,2.0,9.2,0.4,7.7,2.8,1000.4
10361,20200617,1,12.3,14.5,22.2,28.3,60.9,2.0,7.6,10.2,5.5,0.0,1001.2
10361,20200616,1,11.1,13.7,19.6,25.6,79.4,2.0,8.0,7.3,5.3,0.0,1004.4
10361,20200615,1,12.2,14.2,20.7,26.8,63.5,2.0,6.2,12.6,3.6,0.0,1004.2
10361,20200614,1,17.0,17.7,19.8,22.2,87.8,2.0,7.8,0.0,7.8,0.0,1002.1
10361,20200613,1,17.3,18.0,22.2,30.4,78.3,2.0,14.6,8.7,5.2,45.6,1000.5
10361,20200612,1,15.1,15.2,20.5,28.2,75.0,2.0,9.1,6.0,4.8,0.0,1000.7
10361,20200611,1,11.1,12.4,16.0,20.2,83.7,2.0,5.0,0.2,7.3,0.3,1001.3
10361,20200610,1,11.8,13.4,17.7,22.2,54.6,2.0,10.8,5.6,7.8,0.3,1004.2
10361,20200609,1,5.0,9.1,16.8,22.6,61.8,2.0,6.4,4.4,7.3,0.1,1006.1
10361,20200608,3,4.1,8.6,15.8,21.6,60.0,1.0,6.2,6.7,5.2,0.0,1003.5
10361,20200607,3,4.1,7.9,14.8,20.4,62.7,2.0,9.1,4.7,5.8,0.0,997.2
